UN Region,year_smoothed,new_infections_smoothed
Central Africa,1997.9615384615386,24429.60856800318
Central Africa,1998.0,24430.0
Central Africa,1998.0384615384614,24429.0121001985
Central Africa,1998.076923076923,24428.334470620317
Central Africa,1998.1153846153845,24427.194499948462
Central Africa,1998.1538461538462,24425.281245701917
Central Africa,1998.1923076923076,24422.082812608973
Central Africa,1998.2307692307693,24416.771038468363
Central Africa,1998.2692307692307,24408.04536895183
Central Africa,1998.3076923076924,24393.965668398512
Central Africa,1998.3461538461538,24371.889325370204
Central Africa,1998.3846153846155,24338.78546369766
Central Africa,1998.423076923077,24292.32528621146
Central Africa,1998.4615384615386,24232.834114150108
Central Africa,1998.5,24165.0
Central Africa,1998.5384615384614,24097.165885849892
Central Africa,1998.576923076923,24037.67471378854
Central Africa,1998.6153846153845,23991.21453630234
Central Africa,1998.6538461538462,23958.110674629796
Central Africa,1998.6923076923076,23936.034331601488
Central Africa,1998.7307692307693,23921.95463104817
Central Africa,1998.7692307692307,23913.228961531637
Central Africa,1998.8076923076924,23907.917187391027
Central Africa,1998.8461538461538,23904.718754298083
Central Africa,1998.8846153846155,23902.805500051538
Central Africa,1998.923076923077,23901.665529379683
Central Africa,1998.9615384615386,23900.9878998015
Central Africa,1999.0,23900.0
Central Africa,1999.0384615384614,23898.732505915053
Central Africa,1999.076923076923,23897.863094380784
Central Africa,1999.1153846153845,23896.400490499913
Central Africa,1999.1538461538462,23893.94574920246
Central Africa,1999.1923076923076,23889.842099196416
Central Africa,1999.2307692307693,23883.026992751864
Central Africa,1999.2692307692307,23871.831794126872
Central Africa,1999.3076923076924,23853.767272662244
Central Africa,1999.3461538461538,23825.442908022153
Central Africa,1999.3846153846155,23782.97002889511
Central Africa,1999.423076923077,23723.360744573194
Central Africa,1999.4615384615386,23647.032448343532
Central Africa,1999.5,23560.0
Central Africa,1999.5384615384614,23472.967551656468
Central Africa,1999.576923076923,23396.639255426806
Central Africa,1999.6153846153845,23337.02997110489
Central Africa,1999.6538461538462,23294.557091977847
Central Africa,1999.6923076923076,23266.232727337756
Central Africa,1999.7307692307693,23248.168205873128
Central Africa,1999.7692307692307,23236.973007248136
Central Africa,1999.8076923076924,23230.157900803584
Central Africa,1999.8461538461538,23226.05425079754
Central Africa,1999.8846153846155,23223.599509500087
Central Africa,1999.923076923077,23222.136905619216
Central Africa,1999.9615384615386,23221.267494084947
Central Africa,2000.0,23220.0
Central Africa,2000.0384615384614,23218.71386629616
Central Africa,2000.076923076923,23217.83166929815
Central Africa,2000.1153846153845,23216.347556536675
Central Africa,2000.1538461538462,23213.8567161025
Central Africa,2000.1923076923076,23209.692718302245
Central Africa,2000.2307692307693,23202.777389704097
Central Africa,2000.2692307692307,23191.41755580521
Central Africa,2000.3076923076924,23173.087379613156
Central Africa,2000.3461538461538,23144.346480198947
Central Africa,2000.3846153846155,23101.24899990827
Central Africa,2000.423076923077,23040.763108463976
Central Africa,2000.4615384615386,22963.31233728976
Central Africa,2000.5,22875.0
Central Africa,2000.5384615384614,22786.68766271024
Central Africa,2000.576923076923,22709.236891536024
Central Africa,2000.6153846153845,22648.75100009173
Central Africa,2000.6538461538462,22605.653519801053
Central Africa,2000.6923076923076,22576.912620386844
Central Africa,2000.7307692307693,22558.58244419479
Central Africa,2000.7692307692307,22547.222610295903
Central Africa,2000.8076923076924,22540.307281697755
Central Africa,2000.8461538461538,22536.1432838975
Central Africa,2000.8846153846155,22533.652443463325
Central Africa,2000.923076923077,22532.16833070185
Central Africa,2000.9615384615386,22531.28613370384
Central Africa,2001.0,22530.0
Central Africa,2001.0384615384614,22528.173317348166
Central Africa,2001.076923076923,22526.92034190172
Central Africa,2001.1153846153845,22524.812471602814
Central Africa,2001.1538461538462,22521.274756203547
Central Africa,2001.1923076923076,22515.360672371306
Central Africa,2001.2307692307693,22505.53890131886
Central Africa,2001.2692307692307,22489.404644476963
Central Africa,2001.3076923076924,22463.3704811897
Central Africa,2001.3461538461538,22422.55007332604
Central Africa,2001.3846153846155,22361.339159290008
Central Africa,2001.423076923077,22275.43166129666
Central Africa,2001.4615384615386,22165.429116730385
Central Africa,2001.5,22040.0
Central Africa,2001.5384615384614,21914.570883269615
Central Africa,2001.576923076923,21804.56833870334
Central Africa,2001.6153846153845,21718.66084070999
Central Africa,2001.6538461538462,21657.44992667396
Central Africa,2001.6923076923076,21616.629518810296
Central Africa,2001.7307692307693,21590.595355523037
Central Africa,2001.7692307692307,21574.46109868114
Central Africa,2001.8076923076924,21564.639327628694
Central Africa,2001.8461538461538,21558.725243796453
Central Africa,2001.8846153846155,21555.187528397186
Central Africa,2001.923076923077,21553.07965809828
Central Africa,2001.9615384615386,21551.826682651834
Central Africa,2002.0,21550.0
Central Africa,2002.0384615384614,21548.639307820573
Central Africa,2002.076923076923,21547.705968967606
Central Africa,2002.1153846153845,21546.13582068373
Central Africa,2002.1538461538462,21543.500583702644
Central Africa,2002.1923076923076,21539.095194725563
Central Africa,2002.2307692307693,21531.77897751303
Central Africa,2002.2692307692307,21519.760602518556
Central Africa,2002.3076923076924,21500.36780741682
Central Africa,2002.3461538461538,21469.960768906134
Central Africa,2002.3846153846155,21424.364883960927
Central Africa,2002.423076923077,21360.372564027104
Central Africa,2002.4615384615386,21278.431893074674
Central Africa,2002.5,21185.0
Central Africa,2002.5384615384614,21091.568106925326
Central Africa,2002.576923076923,21009.627435972896
Central Africa,2002.6153846153845,20945.635116039073
Central Africa,2002.6538461538462,20900.039231093866
Central Africa,2002.6923076923076,20869.63219258318
Central Africa,2002.7307692307693,20850.239397481444
Central Africa,2002.7692307692307,20838.22102248697
Central Africa,2002.8076923076924,20830.904805274437
Central Africa,2002.8461538461538,20826.499416297356
Central Africa,2002.8846153846155,20823.86417931627
