type,year,spend
Magazines,2019.7272727272727,8655854432.925247
Magazines,2019.7727272727273,8589942659.200235
Magazines,2019.8181818181818,8547951613.327795
Magazines,2019.8636363636363,8521695631.93412
Magazines,2019.909090909091,8505469930.40624
Magazines,2019.9545454545455,8495515367.012676
Magazines,2020.0,8480000000.0
Magazines,2020.0454545454545,8470692921.504689
Magazines,2020.090909090909,8464721557.577897
Magazines,2020.1363636363637,8454988376.426716
Magazines,2020.1818181818182,8439238411.917164
Magazines,2020.2272727272727,8414049580.759275
Magazines,2020.2727272727273,8374511614.862459
Magazines,2020.3181818181818,8314236416.636044
Magazines,2020.3636363636363,8226319066.594881
Magazines,2020.409090909091,8106010059.442884
Magazines,2020.4545454545455,7954991945.969299
Magazines,2020.5,7784700000.0
Magazines,2020.5454545454545,7614408054.030701
Magazines,2020.590909090909,7463389940.557116
Magazines,2020.6363636363637,7343080933.405119
Magazines,2020.6818181818182,7255163583.363956
Magazines,2020.7272727272727,7194888385.137541
Magazines,2020.7727272727273,7155350419.240725
Magazines,2020.8181818181818,7130161588.082836
Magazines,2020.8636363636363,7114411623.573284
Magazines,2020.909090909091,7104678442.422103
Magazines,2020.9545454545455,7098707078.49531
Magazines,2021.0,7089400000.0
Magazines,2021.0454545454545,7083357024.900463
Magazines,2021.090909090909,7079479889.498837
Magazines,2021.1363636363637,7073160251.025228
Magazines,2021.1818181818182,7062933986.8546
Magazines,2021.2272727272727,7046579179.107975
Magazines,2021.2727272727273,7020907649.25882
Magazines,2021.3181818181818,6981771681.70623
Magazines,2021.3636363636363,6924687994.555241
Magazines,2021.409090909091,6846572790.645031
Magazines,2021.4545454545455,6748518530.142155
Magazines,2021.5,6637950000.0
Magazines,2021.5454545454545,6527381469.857845
Magazines,2021.590909090909,6429327209.354969
Magazines,2021.6363636363637,6351212005.444759
Magazines,2021.6818181818182,6294128318.29377
Magazines,2021.7272727272727,6254992350.74118
Magazines,2021.7727272727273,6229320820.892025
Magazines,2021.8181818181818,6212966013.1454
Magazines,2021.8636363636363,6202739748.974772
Magazines,2021.909090909091,6196420110.501163
Magazines,2021.9545454545455,6192542975.099537
Magazines,2022.0,6186500000.0
Magazines,2022.0454545454545,6180051438.134452
Magazines,2022.090909090909,6175914080.775423
Magazines,2022.1363636363637,6169170286.701525
Magazines,2022.1818181818182,6158257665.671068
Magazines,2022.2272727272727,6140805171.193415
Magazines,2022.2727272727273,6113410643.549532
Magazines,2022.3181818181818,6071647984.63169
Magazines,2022.3636363636363,6010733007.812575
Magazines,2022.409090909091,5927374940.51001
Magazines,2022.4545454545455,5822739565.612987
Magazines,2022.5,5704750000.0
Magazines,2022.5454545454545,5586760434.387013
Magazines,2022.590909090909,5482125059.48999
Magazines,2022.6363636363637,5398766992.187425
Magazines,2022.6818181818182,5337852015.36831
Magazines,2022.7272727272727,5296089356.450468
Magazines,2022.7727272727273,5268694828.806585
Magazines,2022.8181818181818,5251242334.328932
Magazines,2022.8636363636363,5240329713.298475
Magazines,2022.909090909091,5233585919.224577
Magazines,2022.9545454545455,5229448561.865548
Magazines,2023.0,5223000000.0
Magazines,2023.0454545454545,5216127780.670944
Magazines,2023.090909090909,5211718607.306907
Magazines,2023.1363636363637,5204531759.610925
Magazines,2023.1818181818182,5192902201.464507
Magazines,2023.2272727272727,5174303113.421274
Magazines,2023.2727272727273,5145108820.754188
Magazines,2023.3181818181818,5100602439.667689
Magazines,2023.3636363636363,5035685472.155633
Magazines,2023.409090909091,4946850948.537289
Magazines,2023.4545454545455,4835341241.278065
Magazines,2023.5,4709600000.0
Magazines,2023.5454545454545,4583858758.721935
Magazines,2023.590909090909,4472349051.462711
Magazines,2023.6363636363637,4383514527.844367
Magazines,2023.6818181818182,4318597560.332311
Magazines,2023.7272727272727,4274091179.245813
Magazines,2023.7727272727273,4244896886.5787253
Magazines,2023.8181818181818,4226297798.535493
Magazines,2023.8636363636363,4214668240.3890758
Magazines,2023.909090909091,4207481392.6930933
Magazines,2023.9545454545455,4203072219.329056
Magazines,2024.0,4196200000.0
Newspapers,2012.0454545454545,24916972726.709282
Newspapers,2012.090909090909,24910860087.16535
Newspapers,2012.1363636363637,24900896630.11896
Newspapers,2012.1818181818182,24884774039.525444
Newspapers,2012.2272727272727,24858989269.531734
Newspapers,2012.2727272727273,24818515880.73976
Newspapers,2012.3181818181818,24756814640.501514
Newspapers,2012.3636363636363,24666817266.861652
Newspapers,2012.409090909091,24543661886.679813
Newspapers,2012.4545454545455,24389070857.96584
Newspapers,2012.5,24214750000.0
Newspapers,2012.5454545454545,24040429142.03416
Newspapers,2012.590909090909,23885838113.320187
Newspapers,2012.6363636363637,23762682733.138348
Newspapers,2012.6818181818182,23672685359.498486
Newspapers,2012.7272727272727,23610984119.26024
Newspapers,2012.7727272727273,23570510730.468266
Newspapers,2012.8181818181818,23544725960.474556
Newspapers,2012.8636363636363,23528603369.88104
Newspapers,2012.909090909091,23518639912.83465
Newspapers,2012.9545454545455,23512527273.290718
Newspapers,2013.0,23503000000.0
Newspapers,2013.0454545454545,23490784208.492996
Newspapers,2013.090909090909,23482946632.310642
Newspapers,2013.1363636363637,23470171569.57719
Newspapers,2013.1818181818182,23449499316.432625
Newspapers,2013.2272727272727,23416438296.276306
Newspapers,2013.2727272727273,23364543649.825226
Newspapers,2013.3181818181818,23285430826.72523
Newspapers,2013.3636363636363,23170036933.94864
Newspapers,2013.409090909091,23012128117.715485
Newspapers,2013.4545454545455,22813912771.309624
Newspapers,2013.5,22590400000.0
Newspapers,2013.5454545454545,22366887228.690376
Newspapers,2013.590909090909,22168671882.284515
Newspapers,2013.6363636363637,22010763066.05136
Newspapers,2013.6818181818182,21895369173.27477
Newspapers,2013.7272727272727,21816256350.174774
Newspapers,2013.7727272727273,21764361703.723694
Newspapers,2013.8181818181818,21731300683.567375
Newspapers,2013.8636363636363,21710628430.42281
Newspapers,2013.909090909091,21697853367.689358
Newspapers,2013.9545454545455,21690015791.507004
Newspapers,2014.0,21677800000.0
Newspapers,2014.0454545454545,21668372450.188053
Newspapers,2014.090909090909,21662323792.610546
Newspapers,2014.1363636363637,21652464624.647396
Newspapers,2014.1818181818182,21636510791.76364
Newspapers,2014.2272727272727,21610995915.04208
Newspapers,2014.2727272727273,21570946167.622078
Newspapers,2014.3181818181818,21509890764.039646
Newspapers,2014.3636363636363,21420835407.166367
Newspapers,2014.409090909091,21298969113.858223
Newspapers,2014.4545454545455,21145996213.93093
Newspapers,2014.5,20973500000.0
Newspapers,2014.5454545454545,20801003786.06907
Newspapers,2014.590909090909,20648030886.141777
Newspapers,2014.6363636363637,20526164592.833633
Newspapers,2014.6818181818182,20437109235.960354
Newspapers,2014.7272727272727,20376053832.377922
Newspapers,2014.7727272727273,20336004084.95792
Newspapers,2014.8181818181818,20310489208.23636
Newspapers,2014.8636363636363,20294535375.352604
Newspapers,2014.909090909091,20284676207.389454
Newspapers,2014.9545454545455,20278627549.811947
Newspapers,2015.0,20269200000.0
Newspapers,2015.0454545454545,20252690075.339973
Newspapers,2015.090909090909,20242097409.918854
Newspapers,2015.1363636363637,20224831617.265514
Newspapers,2015.1818181818182,20196892589.182552
Newspapers,2015.2272727272727,20152209856.045578
Newspapers,2015.2727272727273,20082073041.523598
Newspapers,2015.3181818181818,19975150231.95584
Newspapers,2015.3636363636363,19819192717.87448
Newspapers,2015.409090909091,19605775301.764496
Newspapers,2015.4545454545455,19337882678.208736
Newspapers,2015.5,19035800000.0
Newspapers,2015.5454545454545,18733717321.791264
Newspapers,2015.590909090909,18465824698.235504
Newspapers,2015.6363636363637,18252407282.12552
Newspapers,2015.6818181818182,18096449768.04416
Newspapers,2015.7272727272727,17989526958.476402
Newspapers,2015.7727272727273,17919390143.954422
Newspapers,2015.8181818181818,17874707410.817444
Newspapers,2015.8636363636363,17846768382.73449
Newspapers,2015.909090909091,17829502590.081146
Newspapers,2015.9545454545455,17818909924.660027
Newspapers,2016.0,17802400000.0
Newspapers,2016.0454545454545,17792843947.450306
Newspapers,2016.090909090909,17786712843.31204
Newspapers,2016.1363636363637,17776719289.416126
Newspapers,2016.1818181818182,17760547996.933212
Newspapers,2016.2272727272727,17734685338.27707
Newspapers,2016.2727272727273,17694089690.56567
Newspapers,2016.3181818181818,17632202067.93682
Newspapers,2016.3636363636363,17541932837.109283
Newspapers,2016.409090909091,17418405438.56792
Newspapers,2016.4545454545455,17263347433.090008
Newspapers,2016.5,17088500000.0
Newspapers,2016.5454545454545,16913652566.909992
Newspapers,2016.590909090909,16758594561.43208
Newspapers,2016.6363636363637,16635067162.890717
Newspapers,2016.6818181818182,16544797932.063179
Newspapers,2016.7272727272727,16482910309.434332
Newspapers,2016.7727272727273,16442314661.722929
Newspapers,2016.8181818181818,16416452003.066786
Newspapers,2016.8636363636363,16400280710.583874
Newspapers,2016.909090909091,16390287156.687962
Newspapers,2016.9545454545455,16384156052.549694
Newspapers,2017.0,16374600000.0
Newspapers,2017.0454545454545,16358302238.714273
Newspapers,2017.090909090909,16347845696.000242
Newspapers,2017.1363636363637,16330801780.121311
Newspapers,2017.1818181818182,16303221786.897371
Newspapers,2017.2272727272727,16259113256.225307
Newspapers,2017.2727272727273,16189877745.83027
Newspapers,2017.3181818181818,16084328964.583942
Newspapers,2017.3636363636363,15930375606.979141
Newspapers,2017.409090909091,15719700744.821924
Newspapers,2017.4545454545455,15455250717.409636
Newspapers,2017.5,15157050000.0
Newspapers,2017.5454545454545,14858849282.590364
Newspapers,2017.590909090909,14594399255.178076
Newspapers,2017.6363636363637,14383724393.020859
Newspapers,2017.6818181818182,14229771035.41606
Newspapers,2017.7272727272727,14124222254.16973
Newspapers,2017.7727272727273,14054986743.774693
Newspapers,2017.8181818181818,14010878213.102627
Newspapers,2017.8636363636363,13983298219.878689
Newspapers,2017.909090909091,13966254303.999758
Newspapers,2017.9545454545455,13955797761.285725
Newspapers,2018.0,13939500000.0
